,datadate,tic,prccd,prcod,prchd,prcld,cshtrd,
241,20181010,EURUSD,1.15194,1.149075,1.15454,1.147985,370237,
242,20181011,EURUSD,1.15932,1.15194,1.15994,1.15193,541120,
243,20181012,EURUSD,1.15591,1.15932,1.161045,1.15343,351793,
244,20181014,EURUSD,1.154205,1.15591,1.156065,1.15354,387,
245,20181015,EURUSD,1.15794,1.154205,1.160625,1.154205,306595,
246,20181016,EURUSD,1.15743,1.15794,1.16216,1.156595,302705,
247,20181017,EURUSD,1.15006,1.15743,1.15805,1.1496,360094,
248,20181018,EURUSD,1.145285,1.15006,1.152735,1.14491,374150,
249,20181019,EURUSD,1.15138,1.145285,1.15347,1.143295,369938,
251,20181022,EURUSD,1.14646,1.151685,1.15503,1.14558,298147,
252,20181023,EURUSD,1.14711,1.14646,1.14938,1.14394,380749,
253,20181024,EURUSD,1.139195,1.14711,1.147685,1.137875,428326,
254,20181025,EURUSD,1.137445,1.139195,1.14327,1.13561,365935,
255,20181026,EURUSD,1.14042,1.137445,1.142125,1.133565,385744,
257,20181029,EURUSD,1.13728,1.139295,1.141645,1.136055,315671,
258,20181030,EURUSD,1.13442,1.13728,1.13879,1.13405,277635,
259,20181031,EURUSD,1.13124,1.13442,1.136035,1.13021,305581,
260,20181101,EURUSD,1.14086,1.13124,1.142415,1.130775,329360,
261,20181102,EURUSD,1.138805,1.14086,1.14559,1.137215,398425,
263,20181105,EURUSD,1.140725,1.1387,1.142405,1.13537,290541,
264,20181106,EURUSD,1.142655,1.140725,1.143785,1.13914,295911,
265,20181107,EURUSD,1.142615,1.142655,1.14999,1.139465,482875,
266,20181108,EURUSD,1.136335,1.142615,1.144675,1.13515,376150,
267,20181109,EURUSD,1.13355,1.136335,1.13689,1.131625,349645,
269,20181112,EURUSD,1.121825,1.13219,1.133125,1.121555,342958,
270,20181113,EURUSD,1.12906,1.121825,1.129365,1.12169,413944,
271,20181114,EURUSD,1.130935,1.12906,1.134785,1.1263,471723,
272,20181115,EURUSD,1.132755,1.130935,1.13625,1.127065,450865,
273,20181116,EURUSD,1.141715,1.132755,1.14207,1.132155,362629,
275,20181119,EURUSD,1.145425,1.141415,1.14645,1.1394,286284,
276,20181120,EURUSD,1.13699,1.145425,1.14724,1.13587,355996,
277,20181121,EURUSD,1.138505,1.13699,1.142485,1.13656,342737,
278,20181122,EURUSD,1.1403,1.138505,1.143415,1.138095,234842,
279,20181123,EURUSD,1.133795,1.1403,1.14213,1.13276,281222,
281,20181126,EURUSD,1.132805,1.134145,1.138375,1.13249,279981,
282,20181127,EURUSD,1.128955,1.132805,1.134375,1.12773,339549,
283,20181128,EURUSD,1.136585,1.128955,1.138775,1.12671,375508,
284,20181129,EURUSD,1.13934,1.136585,1.140175,1.134875,346136,
285,20181130,EURUSD,1.131985,1.13934,1.140045,1.13055,313978,
287,20181203,EURUSD,1.135325,1.13525,1.13798,1.131935,300644,
288,20181204,EURUSD,1.134315,1.135325,1.14188,1.13185,387452,
289,20181205,EURUSD,1.13446,1.134315,1.13614,1.131095,174351,
290,20181206,EURUSD,1.137755,1.13446,1.14126,1.132105,429249,
291,20181207,EURUSD,1.13946,1.137755,1.142375,1.136045,368417,
292,20181209,EURUSD,1.139215,1.13946,1.14,1.138165,557,
293,20181210,EURUSD,1.1356,1.139215,1.144275,1.13505,409274,
294,20181211,EURUSD,1.1317,1.1356,1.140045,1.130625,360637,
295,20181212,EURUSD,1.13683,1.1317,1.13874,1.1315,370273,
296,20181213,EURUSD,1.13577,1.13683,1.139345,1.13311,332362,
297,20181214,EURUSD,1.130485,1.13577,1.136545,1.12698,305993,
299,20181217,EURUSD,1.13473,1.130245,1.13579,1.130065,280562,
300,20181218,EURUSD,1.13609,1.13473,1.14023,1.133675,281211,
301,20181219,EURUSD,1.137655,1.13609,1.143935,1.13602,397185,
302,20181220,EURUSD,1.144605,1.137655,1.14859,1.13702,419727,
303,20181221,EURUSD,1.13708,1.144605,1.147405,1.1356,366005,
305,20181224,EURUSD,1.140155,1.137065,1.14386,1.13612,260906,
306,20181226,EURUSD,1.135295,1.140155,1.14143,1.134295,165742,
307,20181227,EURUSD,1.14307,1.135295,1.14543,1.13525,430940,
308,20181228,EURUSD,1.14425,1.14307,1.14728,1.1427,336745,
310,20181231,EURUSD,1.144505,1.143825,1.146615,1.14214,234753,
311,20190102,EURUSD,1.13434,1.144505,1.14968,1.13251,340176,
312,20190103,EURUSD,1.13935,1.13434,1.141115,1.1308,483371,
313,20190104,EURUSD,1.1398,1.13935,1.141915,1.13457,398291,
315,20190107,EURUSD,1.147465,1.13975,1.14826,1.139615,276951,
316,20190108,EURUSD,1.14411,1.147465,1.148465,1.1422,287179,
317,20190109,EURUSD,1.154245,1.14411,1.155815,1.14368,399251,
318,20190110,EURUSD,1.14999,1.154245,1.156985,1.14844,360354,
319,20190111,EURUSD,1.14699,1.14999,1.15406,1.14581,332101,
320,20190113,EURUSD,1.146015,1.14699,1.14613,1.14407,709,
321,20190114,EURUSD,1.146835,1.146015,1.148215,1.145055,289327,
322,20190115,EURUSD,1.141335,1.146835,1.148975,1.138195,388202,
323,20190116,EURUSD,1.13921,1.141335,1.142485,1.137775,297144,
324,20190117,EURUSD,1.13887,1.13921,1.140605,1.137015,318405,
325,20190118,EURUSD,1.13636,1.13887,1.14108,1.135325,276534,
327,20190121,EURUSD,1.136585,1.13614,1.13913,1.135665,179750,
328,20190122,EURUSD,1.135975,1.136585,1.137395,1.133605,257058,
329,20190123,EURUSD,1.138145,1.135975,1.139445,1.13507,272818,
330,20190124,EURUSD,1.130645,1.138145,1.13915,1.128935,425912,
331,20190125,EURUSD,1.140725,1.130645,1.14177,1.13005,372296,
332,20190127,EURUSD,1.14022,1.140725,1.141,1.139995,217,
333,20190128,EURUSD,1.142655,1.14022,1.14437,1.13901,263424,
334,20190129,EURUSD,1.14327,1.142655,1.145025,1.141115,339077,
335,20190130,EURUSD,1.14798,1.14327,1.15018,1.14061,368378,
336,20190131,EURUSD,1.14472,1.14798,1.151435,1.143565,364420,
337,20190201,EURUSD,1.14554,1.14472,1.14885,1.143435,312732,
339,20190204,EURUSD,1.143665,1.145195,1.14604,1.142435,248230,
340,20190205,EURUSD,1.14051,1.143665,1.14412,1.140105,246267,
341,20190206,EURUSD,1.13624,1.14051,1.14096,1.136095,230583,
342,20190207,EURUSD,1.13411,1.13624,1.13691,1.13243,251148,
343,20190208,EURUSD,1.132185,1.13411,1.13509,1.13207,200086,
345,20190211,EURUSD,1.127605,1.13172,1.133,1.126735,220776,
346,20190212,EURUSD,1.132565,1.127605,1.133965,1.12576,227745,
347,20190213,EURUSD,1.126065,1.132565,1.13416,1.12601,239017,
348,20190214,EURUSD,1.129495,1.126065,1.13099,1.1249,298849,
349,20190215,EURUSD,1.12922,1.129495,1.130635,1.123405,265715,
350,20190217,EURUSD,1.129295,1.12922,1.13002,1.129175,260,
351,20190218,EURUSD,1.131035,1.129295,1.133395,1.12892,153387,
352,20190219,EURUSD,1.13402,1.131035,1.135765,1.127555,275465,
353,20190220,EURUSD,1.133775,1.13402,1.13712,1.13248,272187,
354,20190221,EURUSD,1.13359,1.133775,1.136655,1.13198,314423,
355,20190222,EURUSD,1.133325,1.13359,1.135585,1.13161,243089,
356,20190224,EURUSD,1.133645,1.133325,1.134775,1.133325,326,
357,20190225,EURUSD,1.13576,1.133645,1.13676,1.13281,230976,
358,20190226,EURUSD,1.138875,1.13576,1.14028,1.134515,269827,
359,20190227,EURUSD,1.136975,1.138875,1.140375,1.13624,270772,
360,20190228,EURUSD,1.137085,1.136975,1.14196,1.135935,315490,
361,20190301,EURUSD,1.136495,1.137085,1.14088,1.135335,281850,
362,20190303,EURUSD,1.138275,1.136495,1.138975,1.136495,522,
363,20190304,EURUSD,1.133985,1.138275,1.138285,1.1309,231625,
364,20190305,EURUSD,1.13079,1.133985,1.13416,1.12896,249313,
